,product_name,product_category,product_category_type,product_price,product_average_rating,customer_username,review_rating,customer_location,customer_athlete_type,customer_age_range,customer_body_type,review_likes,review_dislikes,review_fit,review_title,review_date,review_text,response_date,response_text,review_helpful_count,review_nothelpful_count,review_length,review_response,customer_country
10,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,LNGUYEN,1.0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Inconsistent quality,2018-09-24,"I have eight of these shirts and have been a fan of them, but several of the shirts have not held up like the others. Despite following the care instructions, one of the shirts has stretched noticeably. The anti-stink technology has been inconsistent and some of the shirts have a strange odor, even after washing, that I have never experienced before.",2018-09-25 00:00:00,"Hi LNguyen,  Thanks for reaching out and providing this feedback for us. I'm sorry to hear you're having such trouble with your shirts! I'd love to chat with you further about this and find a resolution. We'd love to learn more and make things right for you, so keep an eye out for an email coming your way.",1,0,352,1,No Response
11,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,TANKRUSTRACING,5.0,"LOS ANGELES, CA, USA",SWEATY GENERALIST,45-54,MUSCULAR,"amazing quality, stylish fit, enables human flight",having to remove it to wash it occasionally,No Response,This shirt changed my life,2018-09-23,"Flexibility, power, stamina. These are the traits I imagine I have when I wear my Metal Vent Tech short sleeve shirt. No matter how hard I push myself on the last rep, the last mile, the last hit of the snooze button, this shirt stays on me. It must be something to do with the technology that Lulu has woven into every thread. All I can say is, buy this shirt. You will not be disappointed.",No Response,No Response,1,0,391,0,USA
12,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,RONSF,5.0,SAN FRANCISCO,RUNNER,45-54,ATHLETIC,"shoulder style, perfect fit",No Response,No Response,Metal Vent Tech Short Sleeve,2018-09-20,Fit well especially on how the shoulder were designed. I like this rounded style on the shoulder. Some that aren't can either show loose or shorter depending on the cut. Pls continue to make this style.,No Response,No Response,0,0,202,0,USA
13,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,RONNIE03,2.0,"LOS ANGELES, CA, USA",SWEATY GENERALIST,35-44,MUSCULAR,shape and design,quality,No Response,Good quality but...,2018-09-19,"I love all my LULU items I own. However this particular shirt ended up getting a hole in the shirt after 2 months. I didn't snag it, I have great washing machines and tumble dry low or air dry all my items. I don't think I would get this items again",2018-09-19 00:00:00,"Dear Ronnie03, Oh no, we’re sorry to hear your gear isn't performing as expected—we can understand the disappointment. We'll be following up via email to discuss this further. Speak soon!",0,0,249,1,USA
14,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,JHFX,5.0,"CHICAGO, IL, USA",SWEATY GENERALIST,55-65,LEAN,material and flexibility,nothing,No Response,Great Sports Shirt,2018-09-19,"Use the metal vent tech shirt in competitive tennis matches. This shirt is extremely soft and sweat-absorbent, and does not constrain movement in any way. Have several of these and will continue to add.",No Response,No Response,0,0,202,0,USA
15,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,MONTY2488,3.0,"FORT MYERS, FL, USA",SWEATY GENERALIST,25-34,ATHLETIC,No Response,sizing,No Response,Small Fit,2018-09-18,"Love the metal vent series of shirts as I purchased 10+ of them, however this newer version doesn’t fit the same as the previous versions with the lulu symbol at the top back middle area of the shirt. Disappointing since I bought this shirt as a final sale expecting it to fit like the others I had previously purchased. Live and learn.",2018-09-19 00:00:00,"Dear Monty2488, Thank you for taking the time to share your feedback with us. We'd love to hear more of your experience with your Metal Vent Tech Short Sleeve. We'll be following up via email to discuss this further. Speak soon!",0,0,336,1,USA
16,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,HAPPYMAN,2.0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,disappointed,2018-09-15,"I bought 4 metal vent tech shortsleeve shirts all size medium and two of them would not fit correctly. The shirts were labeled as mediums, and had medium tags and stiching but they were short in size. This was disappointing because I expected the shirts to fit the same but two of them were untrue to their label as they were to short and to tight. Had to run to the store to exchange which was a waste of my time seeing how they should have came in beinng true fit mediums but two of them werent. Again dissapointed that I spent that price and got two malfunction shirts",2018-09-18 00:00:00,"Dear happyman,  Thank you for taking the time to review the Metal Vent Tech Short Sleeve. We want you to know, feedback is at the heart of everything we do and we'd love to make this experience right for you. We stand behind the quality of our gear, and we’d like to work with you towards a fix. To carry on this conversation, we've sent you a follow up email. Chat soon!",0,0,571,1,No Response
17,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,YOGINIBEGINNER,5.0,"SAN DIEGO, CA, USA",SWEATY GENERALIST,45-54,CURVY,No Response,No Response,No Response,Perfect shirt!,2018-09-07,"My husband loves these shirts and practically lives in them. He uses them for yoga, running, weight lifting, and playing golf. They wash well and fit very nicely! Any time I buy him a gift, one of these shirts is a part of the gift.",No Response,No Response,0,0,232,0,USA
18,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,JDEANDAYDREAM,5.0,"NEW YORK, NY, USA",RUNNER,18-24,ATHLETIC,"style, fit",No Response,No Response,A big mood,2018-09-06,"Bought this short on sale in Soho last week, perfect fit and style! Wicks sweat and has no odor even after multiple workouts.",No Response,No Response,0,0,125,0,USA
19,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,LIGHTNINGPIG,5.0,"AUSTIN, TX, USA",SWEATY GENERALIST,25-34,ATHLETIC,No Response,No Response,No Response,Best workout shirt,2018-09-06,"This was the 1st type of shirt I ever bought from Lululemon 4 years ago and I still wear it. I've also bought a lot more and use them for most of my workouts b/c they feel/look great. The only issue I have ever had is that if I wear a Heart Rate Monitor strap, it will pill the inside of shirt where the strap monitor sits on my chest. Most watches these days are incorporating the HRM feature into the actual watch so it becomes less of an issue unless you wear one when you ride a bike or do any other exercise where you might not wear your watch on your wrist. Overall, these shirts are a safe purchase and should last you a long time if you take care of them. I am 6'1 205, athletic body type and a large fits great.",No Response,No Response,1,0,720,0,USA
20,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,REDSOCKS11,1.0,WISCONSIN,RUNNER,25-34,ATHLETIC,"material, looks","size, fir",No Response,No clue on sizing,2018-09-04,I have 5 of these shirts. The first two I purchased I loved and got great. I am 6’3” 200lbs. Larges fit great and were long enough. The last3 I purchased are short and tighter. What a disappointment for a $68 shirt!,2018-09-04 00:00:00,"Dear Redsocks11,  Thanks for taking the time to share your thoughts on Metal Vent Tech Short Sleeve. We want you to know, feedback is at the heart of everything we do and we'd love to make this experience right for you. To carry on this conversation, we've sent you a follow up email. Chat soon!",2,0,215,1,USA
21,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,CHARLOTTE1979,1.0,"CHARLOTTE, NC, USA",SWEATY GENERALIST,35-44,ATHLETIC,nothing,"shirt too tight, liner too tight and smaller than the 2017 liner, overall ill fitting",No Response,Why did they change what worked?,2018-09-04,"I discovered lululemon 18 months ago after my wife told me much she loved all her gear. I bought two of the metal vent tech shirts and two 9” pace breaker shorts (lined). I was converted to the product as soon as I worked out in it so I bought two more of this combination. Last month, I bought the same outfit, size but noticed it said “updated” I the title description. When the “updated” metal vent shirt and lined 9” pace breaker shorts (size large) arrived, my excitement immediately turned to disappointment once I tried each item on. I’m 6’1” 182lbs and the previous design of the shirt and shorts fit so well I wear them as lifestyle gear, not just to the gym. The “updated” version is so tight I would have to lose 20 lbs to reasonably fit in it. The liner in the shorts is smaller and much tighter than the previous generation (and very uncomfortable). I returned both items to the store and asked if the had any of the old gear for sale (they were sold out). I hope my original purchase of metal vent shirts and 9” lined pace breaker shorts last a long time. I won’t be make any new purchases until the “updated” version goes back to the 2017 version. If not, I’ll continue on with my original purchase or wait for a competitor to emerge to fill the space Lululemon dominated in men’s workout gear.",2018-09-04 00:00:00,"Dear Charlotte1979,  Thanks for reaching out and providing this feedback for us. We're sorry to read of your recent experience and would love to discuss this further. We'll be following up via email to discuss this further. Chat soon!",2,0,1309,1,USA
22,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,RICKADILLO,5.0,"MELBOURNE, AUSTRALIA",DANCER,25-34,MUSCULAR,fit comfort,No Response,No Response,Nice!,2018-09-02,Light and breathable. Captures sweat and dries quickly.,No Response,No Response,0,1,55,0,Australia
23,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,ALPHA1,1.0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Poor fit,2018-08-31,"I have several metal vent tech shirts (size L). I just received a new one in the mail and the sizing is WAY off compared to prior shirts. The new fit is much wider and shorter at the hip level. I thought the point of paying 2x-3x for lululemon was to have items that are designed for athletic humans. The new fit is for your ""average"" built person. I had the same problem with a metal vent tech polo in the same order. Very discouraging since I buy all my polos and tshirts from here. Extremely dissatisfied!",2018-08-31 00:00:00,"Dear Alpha1,  Thank you for taking the time to review the Metal Vent Tech Short Sleeve. We're sorry to read of your recent experience and would love to discuss this further. We stand behind the quality of our gear, and we’d like to work with you towards a fix. We'll be following up via email to discuss this further. Speak soon!",3,0,508,1,No Response
24,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,FUTBOLFAN,5.0,"OREGON, USA",SWEATY GENERALIST,25-34,ATHLETIC,"material, fit",No Response,No Response,Love this shirt!,2018-08-30,"This is the fifth Metal Vent Tech Short Sleeve shirt I purchased. I absolutely love them! light weight, breathable, comfortable in general for workouts! I'll buy more!",No Response,No Response,0,1,167,0,USA
25,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,LITTLEGINGER,5.0,"SAN JOSE, CA, USA",SWEATY GENERALIST,35-44,ATHLETIC,"color, fit, comfort",No Response,No Response,The shirt that makes you look and feel ripped,2018-08-30,"I love this shirt. I have several of them, but I decided to go with a different color this time. I'm so glad I did. It just livens up my workout clothing options.",No Response,No Response,0,0,162,0,USA
26,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,JETDOG,2.0,"ILLINOIS, USA",RUNNER,45-54,ATHLETIC,No Response,also seemed to long,No Response,a little loose,2018-08-30,"I have bought a lot of metal vents..they all fit very well. Just recently bought and it is very loose or seems bigger...not the normal feel. I would return and exchange for a recent product that I bought in store, but it has been worn once.",2018-08-31 00:00:00,"Hey jetdog,  Thanks for reaching out and providing this feedback for us. We're sorry to read of your recent experience and would love to discuss this further. We'll be following up via email to discuss this further. Speak soon!",0,0,240,1,USA
27,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,ALJH,1.0,DENVER COLORADO,SWEATY GENERALIST,OVER 65,MUSCULAR,the product,the small size,No Response,v tech short sleeve,2018-08-29,"bought size xl at store- too small returned and had shipped xxl. Still too small and I am not ""big"" guy. Your sizes must be geared to small people. Never bought something in xxl and had it too small.",No Response,No Response,1,1,199,0,USA
28,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,SHANER,1.0,"ST PAUL, MN, USA",SWEATY GENERALIST,18-24,ATHLETIC,original fit,poor quality,No Response,Bad Material,2018-08-28,"I have always loved shopping at lululemon, and was thinking the same about this shirt when I ordered it. The first couple wears were great, and it fit almost perfectly. After two to three washes the fabric started to pull to a point where the shirt was almost unwearable. Im hoping this is my only bad experience with lululemon because all the previous products I have purchased have been great.",2018-08-30 00:00:00,"Hi Shaner,  Thank you for taking the time to share your feedback with us. I'm sorry to hear your gear isn't performing as expected—I can understand the disappointment. We’d like to get to the bottom of this and work towards a resolution, so I've sent you an email to follow up. Talk soon!",0,0,395,1,USA
29,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,ED1234,5.0,No Response,No Response,No Response,No Response,"light, breathable",a little pricey,No Response,Most Breathable Shirt,2018-08-27,I was skeptical that this shirt would be worth the money since I have used other performance shirts that were significantly cheaper. This shirt lives up to the price with how light and breathable the shirt is. It is unlike any other work out shirt I have ever put on,No Response,No Response,3,0,266,0,No Response
30,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,PETGURL,5.0,NJ,No Response,No Response,No Response,No Response,No Response,No Response,GREAT t shirt,2018-08-25,Love the color & fit,No Response,No Response,1,0,20,0,USA
31,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,GHAZI,5.0,"BOCA RATON, FL, USA",RUNNER,35-44,LEAN,fabric,No Response,No Response,Awesome feeling,2018-08-24,"comfortable, and soft",No Response,No Response,1,0,21,0,USA
32,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,BENNYFLEX,5.0,"MINNEAPOLIS, MN, USA",SWEATY GENERALIST,UNDER 18,LEAN,No Response,No Response,No Response,Crazy Comfortable,2018-08-16,"This shirt goes CRAZY. Literally the most comfortable shirt I have ever owned. If you balk at the price, two things:",No Response,No Response,0,0,116,0,USA
33,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,MPOLLZZIE,5.0,"MONROE, MI, USA",YOGI,25-34,ATHLETIC,No Response,No Response,No Response,I need this in every color!,2018-08-16,I love all the compliments I get when I wear this plus it fits me very nicely and is super comfortable to work out in!,No Response,No Response,0,0,118,0,USA
34,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,BARBOURSHOP,1.0,"SEATTLE, WA, USA",No Response,No Response,No Response,No Response,No Response,No Response,Overcut,2018-08-15,"initially liked this shirt as it is very comfortable and fits extremely well. It's fitted but not tight and loose enough to work out in without feeling constricted. However, after only wearing this shirt a handful of times, the shirt is already stretched out and pilling in many areas. Considering that I've never deviated from the washing directions provided by Lululemon, I must conclude that the quality of the material isn't very good. It's very disappointing since these shirts are expensive and are supposed to be of high quality.",2018-08-16 00:00:00,"Dear Barbourshop,  Thank you for taking the time to share your feedback with us. We're sorry to hear that you've experienced pilling with your Metal Vent Tech Short Sleeve. We would love to discuss your concerns further. Keep an eye out for an email coming your way. Chat soon!",2,0,536,1,USA
35,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,KGBO,2.0,"TRUCKEE, CA",CYCLIST,25-34,ATHLETIC,No Response,inconsistent sizing,No Response,Inconsistent sizing,2018-08-15,"I ordered three medium Metal Vent Tech shirts in the same order, a black, a light red, and a gray. The black shirt was the older version, while the light red and gray shirts were the updated versions. The black and the light red shirts fit perfectly, despite one being older and the other being updated. The gray shirt, however, is a full size larger than the other two. When I lay the red or black shirt on top of the gray, there is 2 inches of extra material at the bottom hem, and more than an inch of material at the sleeves of the gray shirt. I'm unsure how this happens on shirts of the same size.",No Response,No Response,5,0,603,0,USA
36,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,FONGH,5.0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Trifecta,2018-08-14,"Hard working, great fit, cool look.",No Response,No Response,1,0,35,0,No Response
37,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,ANONYMOUS,5.0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Great workout shirts,2018-08-13,"Best workout shirts I own. Fit is right, after extended use and wash the shirt doesn't shrink or pill. Plan on indiscriminately buying more of these shirts that I don't need.",No Response,No Response,0,0,174,0,No Response
38,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,JOE97,1.0,"ESCONDIDO, CA, USA",RUNNER,18-24,ATHLETIC,No Response,No Response,No Response,NOT WORTH IT!!,2018-08-13,"Below average quality, definitely not worth the price",No Response,No Response,0,1,53,0,USA
39,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,HOCKEYBOY69,5.0,"WASHINGTON, DC, USA",SWEATY GENERALIST,18-24,ATHLETIC,"style, color, shape, fit, tag, price",No Response,No Response,Life Changing birthday gift,2018-08-11,"I love this shirt. Its super comfy my pretty girlfriend bought me it for my birthday and boy have I enjoyed it. I wear it to sleep, on dates, to workout, and even to a train station!!!! I would highly recommend something like this to wear out and about, and even to a gentlemen's club!! Well done lululemon you have impressed not only me, but my girlfriend, family friends, teammates, and secret lovers.",No Response,No Response,2,3,403,0,USA
40,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,JLOG,2.0,PHILADELPHIA,SWEATY GENERALIST,25-34,MUSCULAR,colors,new oom liner,No Response,Not a fan of the new liner,2018-10-12,"I have several pairs of the old pace breakers which I love. I bought the new ones with the OOM liner and had to return them. Granted, I only tried them on and wore them around the house for a few minutes and didn't work out in them. Maybe I would have gotten used to them? I don't know, but I didn't want to take that $68 risk.",No Response,No Response,0,0,327,0,USA
41,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,DARTHGMAN,1.0,"LOS ANGELES, CA",RUNNER,45-54,SOLID,color,"fit (too tight), not “abc”",No Response,I’ll never buy lined Lululemon shorts again,2018-10-12,"I just bought these shorts in Incognito Camo Red Multi today. I have been eyeing this color for a while and when I saw it on sale at my local store on my way out from picking up my store-hemmed Metal Tech hoodie, I could not resist. I am a Medium and didn’t bother trying the shorts on as I assumed the liner would fit the same if not better than my other Lululemon lined shorts or like my size Medium Lululemon Long Boxers. I mean these are “updated” right? What a big mistake. This liner is horrible - way too tight, it’s like they accidentally put in an XS liner and “ABC”? Forget it with these shorts. And to top it all off, the mesh is very uncomfortable. I probably should have read th e reviews before I bought these, but I have bought other items that have had not so good reviews and they have worked out well.",2018-10-12 00:00:00,"Dear DarthGman,  Thank you for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" *Updated is causing some discomfort. Keep your eyes peeled for an email headed your way so we can follow up and chat further. Talk soon!",0,0,819,1,USA
42,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,BJDW,1.0,"FORT WORTH, TX, USA",SWEATY GENERALIST,35-44,ATHLETIC,outer shell of the short,the liner,No Response,Liner makes these a NO GO!!!,2018-10-07,"I have several pairs of the old style. They are perfect for running or gym. Just bought 4 pairs of the new ones, got home tried them on and oh man what a bust. The liner is much tighter (overall and especially in the package area), much shorter and doesn’t breathe. They really screwed up a good thing. These shorts are getting returned they are HORRIBLE!!",No Response,No Response,2,0,356,0,USA
43,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,HEAVYLIFTERNYC,1.0,"NEW YORK, NY",SWEATY GENERALIST,45-54,MUSCULAR,the print,"pocket design and shape, quality",No Response,WTF Happened?,2018-10-05,"I have worn 9"" Pace Breaker Shorts for many years. I own at least 7 pairs, as I sometimes am on a 2-a-day schedule. I purchased the new version (not realizing it was a new version). The sizing is off, but most importantly are the pockets. They always used to lay flat, and they were sized correctly to hold a phone. Now, they gap open (making the shorts look too tight, which they are not) and are so wide that an iPhone 8 slides to its side, making it very hard to take it out of your pocket. It remained vertical in the old shorts (because the pocket was too narrow for it to turn to its side). You would never know this in the store because who puts a phone in the shorts pocket when trying on?? Also, the liner is already starting to come unstitched at a seam. These are such a fail I won't buy another pair until they fix the design.",2018-10-06 00:00:00,"Hi HeavyLifterNYC,  Thank you for taking the time to share your feedback with us. We stand behind the quality of our product, and we want to ensure that you're in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. Watch out for an email coming your way soon.",4,0,838,1,USA
44,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,HOOGS3,2.0,"OTTAWA, ON",SWEATY GENERALIST,35-44,ATHLETIC,added features - pockets,liner,No Response,Liner not as good as the old one,2018-10-03,"Disappointed in the new liner of these shorts. They are not as comfortable as the old one. I wanted to try out the new short to see if they would be worth purchasing in the future, but might have to find another option. Please keep offering the original, they fit much better!",No Response,No Response,2,0,276,0,Canada
45,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,TOOOOCH,1.0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Miss the old Pace Breakers!,2018-10-03,"Lululemon is an excellent company and I own 10 plus pairs of pace breakers with the liner. The new updated fit PBs are off sized pulling to tight in the waste. The old liners are a little better feel as well imo, however that could be due the new off sizing.",2018-10-03 00:00:00,"Hey Tooooch,  Thanks for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" Updated is not performing for you. We'd love to get in touch. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!",1,0,258,1,No Response
46,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,ALLBREEZY,2.0,No Response,No Response,No Response,No Response,No Response,fit and material,No Response,Not the same as my first pace breakers,2018-09-28,Material isn’t the same. The fit tighter than the originals. I see why they were on sale.,2018-09-29 00:00:00,"Hi Allbreezy,  We're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you.",1,0,89,1,No Response
47,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,ANDREWJ,1.0,"LOS ANGELES, CA, USA",SWEATY GENERALIST,25-34,ATHLETIC,"nice outer material, looks good",liner is unwearable,No Response,The liner ruins it,2018-09-25,"Previous owner of Pacebreakers and decided to pick up a new pair recently. Liner was extremely tight in my normal size (M) when I first tried them on. I thought that was strange, even double checking the size of short. I figured the liner would stretch out with use and become comfortable similar to the old, but after four workouts the liner hasn't stretched whatsoever. These shorts are going to be unwearable for me.",2018-09-27 00:00:00,"Hey andrewj,  Thanks for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" Updated is not working out for you. We stand behind our gear and would love to sort this out for you. Keep an eye out for an email coming your way. Chat Soon!",1,0,419,1,USA
48,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,SADIELIB,2.0,"VANCOUVER, BC, CANADA",SWEATY GENERALIST,25-34,ATHLETIC,No Response,"too tight, liner uncomfortable",No Response,liner too tight,2018-09-25,"theses shorts are very uncomfortable. the liner is way to tight, and i have skinnier legs. not impressed.",2018-09-28 00:00:00,"Thanks for taking the time to share your thoughts on Pace Breaker Short 9"" *Updated.  We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. I'd love to lend a hand and help with some options, so I've sent an email to you outlining the next steps.",2,0,105,1,Canada
49,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,RYBO,1.0,"SHAWNEE MISSION, KS, USA",SWEATY GENERALIST,25-34,ATHLETIC,ability to return merchandise,"updated liner, overall fit",No Response,"Unnecessary ""update""",2018-09-25,"Purchased these shorts because I love the lined Pace Breaker and have several pairs. However, the ""updated"" fit is poorly executed because it features the Out Of Mind (OOM) liner. The liner is tight and the shorts fit differently than the ""classic"" Pace Breaker. I returned these because life is too short to wear shorts like these.",No Response,No Response,2,0,332,0,USA
50,"Pace Breaker Short 9"" Updated",Bottoms,Shorts,68.0,2.1,MHIRUKO,5.0,"ARIZONA, USA",SWEATY GENERALIST,18-24,MUSCULAR,No Response,No Response,No Response,Awesome,2018-09-25,My dad generally gets normal Nike/adidas shorts and doesn’t care for me expensive items but absolutely loves these shorts! He says the fabric is the best!,No Response,No Response,0,2,154,0,USA
