product,price,userRating,averageRating,username,userLocation,athleteType,ageRange,bodyType,likes,dislikes,fit,reviewTitle,reviewDate,reviewText,responseDate,responseText,Helpful,NotHelpful,reviewLength,category,categoryType
"Pace Breaker Short
9"" Updated",68,2.1,2,PLM2018,MIAMI,,,,"color, pattern",fit,,"Still Awesome Shorts, But New Version Fits Differently",2018-09-25,"The Lululemon Pace Breaker is my favorite pair of shorts ever; however, I somewhat miss the old version. The new version eliminates the double vertical mesh fabric stripes that were a really neat feature of the original and they also swapped the tiny zipper pocket to the right side, which is a little annoying. The most frustrating aspect of the “updated” Pace Breaker is the fact that they fit a lot tighter than the original. I ordered my new Pace Breakers in the Canopy Hot Heat Mach Blue, a color/pattern combination which is pure genius and I love!! When they arrived in the mail, I noticed that the new Medium does not fit like the old one and it’s a lot tighter and not as comfortable as the old version. Unfortunately for me, I couldn’t even return them because I had purchased them from the “We Made Too Many” section of the website. Word of advice: if you plan on buying the new version of the Pace Breaker, try them on at the store, as they fit differently!",2018-09-25,"Hi PLM2018,

Thank you for taking the time to share your feedback with us. We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. We’d like to get to the bottom of this and work towards a resolution, so I've sent you an email to follow up.",0,0,969,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,RYNCYN,"WEST HOLLYWOOD, CA, USA",SWEATY GENERALIST,35-44,ATHLETIC,,liner,,Liner too tight and very uncomfortable,2018-09-24,These shorts are not like the last pace shorts I got.,2018-09-25,"Hi ryncyn,

We're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you.",1,0,53,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,RUN343,US,RUNNER,45-54,ATHLETIC,basic style,"material quality seems cheap, liner - rides up during workout, liner - webbing or material makes liner itch",,Fairly disappointed,2018-09-24,I’ve had many pairs of lululemon shorts/running shorts. I’ve always been pleased. This latest version may have me looking for another go to brand. They seem cheap. The liner is horrible - seems to itch & not stay in place.,2018-09-25,"Hi Run343,

We're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you.",0,0,222,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,5,WINKIE,"SALT LAKE CITY, UT, USA",SWEATY GENERALIST,35-44,ATHLETIC,"comfort, feels like almost wearing nothing",,,"updated short, and I like it",2018-09-23,"I've always liked the pacebreaker short and I prefer the new liner vs wearing underwear underneath. Comfy, breathable, and lots of prints/ colors to choose from.",,,0,0,161,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,GORMAC,,,,,material,"liner, fit",,Why Mess with a Good Thing?,2018-09-22,I've had several of these shorts however they have changed the liner design and not for the better. Be sure to double check the sizing. All of my previous pairs were mediums but medium is more like a small now. Pretty disappointed over all. The material seems to be the same which of course is great quality but they have changed something about these shorts and in my opinion not for the better. I wish I had read some of these reviews before buying but I took for granted that I was buying my usual favourites.,2018-09-23,"Hey Gormac,

Thanks for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" Updated is not fitting well. We stand behind our product and would love to sort this out for you. Keep an eye out for an email coming your way. Chat Soon!",0,0,512,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,JOHNNYB,VERMONT,RUNNER,25-34,ATHLETIC,"fit, comfort, lightweight",rips in the fabric,,"Multiple rips in the fabric, these are seconds, not an over quantity of product",2018-09-21,"This is my third pair of these shorts, and first pair ordering from the ""we made too much"" collection, and I would highly suggest no one do that.",2018-09-21,"Hi johnnyb,

We appreciate you taking the time to share your feedback with us. We stand behind the quality of our product, and we want to ensure that you're in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. Hang tight for an email coming your way! Chat soon.",0,0,145,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,5,JHFX,"CHICAGO, IL, USA",SWEATY GENERALIST,55-65,LEAN,,,,Love these shorts,2018-09-19,"Great fit, comfort, and very durable.",,,0,0,37,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,4,JUSTJIMG,"WALLED LAKE, MI 48390, USA",SWEATY GENERALIST,45-54,ATHLETIC,"durability/ruggedness, extremely light weight, overall fit, pattern/style",price,,"Review of Pace Breaker Short 9""",2018-09-18,"I was a little reluctant to order a pair of shorts from an online store ""sight unseen"", but they had the built-in compression liner which makes all the difference when doing CrossFit. As a guy, if you've ever done Bar-facing Burpees or Box Jumps with regular workout shorts and underwear, you know exactly what I mean.",,,0,0,318,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,LANNONS,"DAYTONA BEACH, FL, USA",SWEATY GENERALIST,25-34,ATHLETIC,,,,Poor update design,2018-09-17,"I own numerous pairs of the old style pacemaker shorts. I was excited to get a new pair and see the new updates, until they arrived. The new liner is terribly tight and uncomfortable and the short legs are too narrow. I can’t see myself spending the money for more shorts if they all start going in this direction.",2018-09-18,"Dear LannonS,

Thank you for taking the time to review the Pace Breaker Short 9"" *Updated. We want you to know, feedback is at the heart of everything we do and we'd love to make this experience right for you. To carry on this conversation, we've sent you a follow up email. Chat soon!",1,0,314,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,3,SPLATT25,"MOBILE, AL",SWEATY GENERALIST,35-44,ATHLETIC,,,,Not the Pace Breaker's I knew and loved,2018-09-17,"The liner is what ruined these shorts. I prefer a liner, but for some reason the liner in these is significantly tighter and shorter.",2018-09-18,"Dear Splatt25,

Thanks for reaching out and providing this feedback for us. We want you to know, feedback is at the heart of everything we do and we'd love to make this experience right for you. We'll be following up via email to discuss this further. Chat soon!",0,0,133,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,RB84,"VANCOUVER, BC, CANADA",SWEATY GENERALIST,25-34,ATHLETIC,,new liner material and size.,,Poor design change.,2018-09-16,I own 5 pairs of the old style Pacebreaker (lined) shorts and they are by far the most comfortable shorts I have ever owned. I just bought a new pair last week and they are probably the most uncomfortable shorts I've ever worn. The new liner is extremely tight and the new liner material is very uncomfortable and is constantly riding up. Not sure why the change in material and design but it's very disappointing. I tried to workout in them today and could barely sit on the bike the material was so uncomfortable. I would them if I hadn't already worn them.,2018-09-18,"Dear RB84,

Thank you for taking the time to review the Pace Breaker Short 9"" *Updated. We want you to know, feedback is at the heart of everything we do and we'd love to make this experience right for you. To carry on this conversation, we've sent you a follow up email. Chat soon!",0,0,559,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,ELWALS01,"LOUISVILLE, KY, USA",SWEATY GENERALIST,25-34,,,,,They look great but there's a catch...,2018-09-16,"I bought two pairs of these shorts for my husband. He loved the way they looked and fit. The first time he ran 3 miles in them he said they wicked away sweat very well and were comfortable. A few days later, he came back from a 9 mile run with blisters all across the small of his back (where the waistband sits). We thought it was a fluke, but sure enough the next time he wore them he broke out in blisters in the same area. Very disappointed. They look great and feel great (hence the 2 stars) when you aren't doing anything remotely athletic. Unfortunately, they aren't worth the money if they're going to erode away your skin.",2018-09-17,"Hi elwals01,
Thanks for taking the time to share this feedback. We want your gear to support your sweatiest pursuits, but it sounds this isn’t the case for you. We have sent you an email outlining a few options.",0,0,631,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,5,HENDY60,,,,,,,,SWEET FOR PICKLE BALL,2018-09-16,I was looking for a great short for Pickle Ball.....search over!!,,,0,0,65,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,SCOTTR,"SAN FRANCISCO, CA, USA",,,,fabric,everything about the fit especially the liner,,Don't like new fit and liner,2018-09-16,I've been buying PaceBreaker shorts for years and have always been very happy with the product. Until now.,2018-09-17,"Hi ScottR,
Thanks for taking the time to share this feedback. It's not good to hear that your gear hasn't been performing as expected, I'd love to help turn this around. Check your inbox fro an email headed your way. Talk soon!",0,0,106,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,3,JDOGRUN,,,,,,,,Decent short,2018-09-16,Liner is tight otherwise nice shorts,,,0,0,36,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,ILVLA,"CLEVELAND, OH, USA",SWEATY GENERALIST,45-54,MUSCULAR,,,,"Unfortunately, the new liner is only one of the new problems",2018-09-14,"I have been wearing Pace Breakers for years. I just purchased three pairs which I will be returning. Sure, the new, updated liner is a horrible downgrade from the old liner, and sure it is uncomfortable and makes for shorts that don't sit well as others have noted, but the liner is only one of the new problems with the updated version of the shorts. There are a few others, but two especially are worth mentioning. First, the design of the hand pockets changed from a well-fit and well-cut vertical arrangement that kept the outer fabric of the pocket close to the shorts, to a diagonal, loose arrangement that causes the outer pocket to curve away from the shorts, creating a large, goofy arc. Second, although an aesthetic issue, the designers also removed the vertical mesh stripe on each side of the leg that complemented the rainbow mesh across the seat (which they retained) and which made for an interesting look. Sorry, but the designers have ruined these shorts.",2018-09-15,"Hey ILVLA,

Thanks for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" Updated is not performing for you. We stand behind our product and would love to sort this out for you. Keep an eye out for an email coming your way. Chat Soon!",0,0,973,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,LULUPURIST,"WINDSOR, ON, CANADA",SWEATY GENERALIST,18-24,LEAN,color,new liner!,,DO NOT BUY THESE SHORTS (New liner = uncomfortable),2018-09-13,I have been buying lululemon for years and I have been willing to pay the high price for their products as they have premium comfort. This is not the case for the updated pace breaker short.,,,1,0,190,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,THECOMMISSIONER,CALIFORNIA,RUNNER,25-34,MUSCULAR,,"liner, tight fit, comfort",,Why would you do this to us??,2018-09-11,"Who decided this new liner was a good idea?! That person is either a hipster who is ok having vital circulation to their lower organs cut off, does not participate in leg days, or someone who wants to punish all man kind. This is like when the ABC pants were made into the Ahhh Balls Crushed Pants.",2018-09-13,"Dear thecommissioner,
Thank you for taking the time to share your feedback with us. We hear where you're coming from and we're sorry to hear that your gear hasn't performed for you as expected. Give us a call or text us at our Guest Education Centre (1.877.263.9300) or jump on Live chat to speak directly with an educator. We look forward to speaking with you soon!",0,0,298,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,HAFARRELL,"FLORIDA, USA",SWEATY GENERALIST,18-24,ATHLETIC,,"liner, waist sizes are getting too small",,Bring back the old Pace Breakers we love!,2018-09-10,"Super disappointed with the new direction of the pace breakers. I have 45 pairs of pace breakers and I will NEVER get rid of them but these new ones are just not the same. The fit is horrible, waist sizes are getting smaller and smaller, and the liner is just way too tight. If you're a guy who lifts often and have a butt, these new shorts won't stay on your butt because the liner is too shallow. I can't squat/bend in these new ones. I would love to see this liner go away and get back to the old liner... the new sizing is super off... now the mediums fit like an Extra Small. I'm not even sure what to do with these new pace breakers I bought. Bring back the old pace breakers we know and love!",2018-09-11,"Hi hafarrell,
Thanks for taking the time to connect and share this feedback. We want your gear to support your sweatiest pursuits, but it sounds this isn’t the case for you. Check your inbox for an email headed your way.",0,0,699,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,BECKS112,"TORONTO, ON, CANADA",SWEATY GENERALIST,25-34,ATHLETIC,,everything,,TERRIBLE FITTING SHORTS...BRING BACK THE OLD VERSION!!!,2018-09-09,"These are the only gym shorts I will wear (over 12 pairs) but this updated version is TERRIBLE. The fit is completely off and the liner is restricting and uncomfortable. It seems like Lululemon tries to update their best sellers and ends up ruining a fantastic product. The phone pocket built into the liner is a horrible idea, tough to get to and your phone would get covered in sweat!",2018-09-10,"Hi Becks112,
Thanks for taking the time to share this feedback. We stand behind the quality of our product, and we want to ensure that you're in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. Check your inbox for an email headed your way.",0,0,386,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,3,ONLINECUSTOMER,,,,,material,liner,,Liner hater,2018-09-09,Not a fan of the compression short liner or wedgies.,,,0,0,52,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,LEO212121,"MIAMI, FL, USA",RUNNER,35-44,ATHLETIC,,"does not fit well, size is not the same as in the previous verion",,"Disappointing - does not fit well, huge downgrade from previous version",2018-09-08,"I own and use about ten Pace Breaker Short
9"". So I was hoping that the new 9 Updated version will be the same or better.
However I got hugely disappointed, the same size of updated version does not fit well and it is extremely uncomfortable. I hope to see the old/original version of Pace Breaker Short 9 back or we will have to go find a different brand to buy the shorts from.",2018-09-10,"Hi Leo212121,
Thanks for taking the time to share this feedback. We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. Check your inbox for an email headed your way.",0,0,379,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,HOUJAX,"HOUSTON, TX, USA",SWEATY GENERALIST,25-34,ATHLETIC,"colors, cell phone pocket","liner, fit, side pockets are angled differently, zipper pocket is now on the right side",,"The ""Update"" Was NOT Needed",2018-09-07,"I recently bought 3 new pairs of the Pace Breaker ""Updated"" Short as my previous 3 pairs of the Pace Breaker ""Original"" Short lifespan was running out. These ""Updated"" shorts are tighter fitting and the liner is terrible. Seriously, just walking my dog (not doing anything strenuous) and the liner rides up the leg. I NEVER had that issue with my other shorts, even while running, spinning, or any other type of exercise. Also, my body/weight has been constant so nothing has changed other than the ""Updated"" Pace Breaker Short.",2018-09-08,"Hi HouJax,

We appreciate you taking the time to share your feedback with us. We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. I'd love to lend a hand and help with some options, so I've sent an email to you outlining the next steps. Talk soon!",0,0,528,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,AVIDRUNNER14,"DOWNERS GROVE, IL, USA",RUNNER,25-34,ATHLETIC,zipper pocket,wears down very quickly,,Good for about 5-6 months,2018-09-07,"I've been getting these shorts since 2012, they were perfect for indoor and outdoor running and stylish. The lining is really what made these running shorts attractive to me and I really like the zippered pocket. My original pair lasted me almost a year and a half before I wanted to get a new pair. But something has happened to the quality and they fall apart between 5-6 months. The lining starts getting holes in it and the seams on the actual short fabric start to fall out. I bought my latest shorts in March 2018 and they now starting to get holes in the lining. If you are an occasional runner and not someone who trains for running events, these might be fine for you because they are really comfortable. But there is no long term use for these shorts and that's hard to justify the cost.",2018-09-08,"Hi AvidRunner14,

We appreciate you taking the time to share your feedback with us. I completely understand why you're disappointed with this and I'd love to help turn this around. We'd love to learn more and make things right for you, so keep an eye out for an email coming your way. Talk soon!",0,0,797,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,JONG,"DALLAS, TX, USA",SWEATY GENERALIST,25-34,ATHLETIC,"material, look","updated fit, liner",,Great to Subpar,2018-09-05,"I own several pair of the original lined pace breaker shorts and absolutely love them. They're my favorite workout shorts, and I don't even mind spending the money on them. The new updated version has a slightly tighter waist and the liner is significantly tighter and shorter - making my workouts go from easy breezy to noticeably constricted. Unfortunately it seems like I'll have to find a new favorite style of shorts.",2018-09-08,"Hey HouJax,

We're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you.",1,0,422,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,5,BROKACHU,"NEWPORT BEACH, CA",SWEATY GENERALIST,25-34,ATHLETIC,"material, fit, feel",,,Love these shorts!,2018-09-05,"Don't have any issues with the liner on the new shorts. Compared to the older Pace Breakers I can't tell the difference. Mind you, I have a small waist, 33, and huge thighs/legs. Love these shorts. They are my go-to for workouts and lazy weekends.",,,0,0,247,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,GOSTROS,"HOUSTON, TX, USA",CYCLIST,45-54,ATHLETIC,,liner is very uncomfortable,,The new version liner is terrible,2018-09-05,"As others have said, this new version is a horrible step in the wrong direction. I have several pairs of the old version and absolutely love them. I’ve noticed I’m wearing them almost exclusively, so I went to the local store and bought a new pair (I actually wanted to buy multiple pairs, but color schemes were limited. A blessing in disguise!). The new liner makes the shorts unwearable. It’s VERY tight, and it creeps up, causing chafing. I’m going to cut the liner out and use them as sleep shorts. I would absolutely not recommend this product. Time to find a new favorite shorts brand.",2018-09-06,"Dear GoStros,
Oh no, we’re sorry to hear your gear isn't performing as expected—we can understand the disappointment. We'd love to chat with you further to gather more information from you and work towards a resolution. We'll be reaching out via email, so keep your eyes peeled on your inbox.",0,0,592,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,CURTE46,PA,SWEATY GENERALIST,25-34,ATHLETIC,literally nothing,"everything, liner",,New liner is awful,2018-09-05,"I have about a dozen pair of 9"" Pace Breaker shorts. They're the absolute best shorts for training I've ever encountered. The built in liner was my favorite part about them, it was light weight, the perfect length, never bunched up in the front or back, never chaffed, never rode up, yet was supportive and comfortable. These new liners are complete garbage. They took everything that was great about these shorts and completely ruined them. This new liner does literally everything the previous iteration didn't, they ride up instantly, bunch up in the front and the back, are constrictive around the thigh and ride up instantly. These have provided some of the most uncomfortable workouts in recent memory. It boggles my mind how you could take something that was literally perfect and redesign it so poorly. I guess these will get buried in my drawer at this point because I won't ever be wearing them again. Beyond disappointed.",2018-09-06,"Dear curte46,
Thank you for taking the time to share your feedback with us. We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. We'll be following up via email to discuss this further. Speak soon!",0,0,932,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,CHIRODOC,DALLAS,SWEATY GENERALIST,18-24,ATHLETIC,,"liner, side vents, style",,Why change a perfect product?,2018-09-04,"The liner is awful compared to the previous generation. I also think the design is significantly different in a negative way. I truly liked the double side vent compared to the single side vent on the new style, it just simply looks cheaper. I own about 20 pairs of the old style and haven't bought a single pair of the new style.",2018-09-06,"Dear chirodoc,
Oh no, I'm sorry to hear your gear isn't performing as expected—I can understand the disappointment. We'd love to chat with you further to gather more information from you and work towards a resolution. We'll be reaching out via email, so keep your eyes peeled on your inbox.",0,0,330,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,CHARLOTTE1979,"CHARLOTTE, NC, USA",SWEATY GENERALIST,35-44,ATHLETIC,nothing,liner too tight and smaller than 2017 version,,Why did Lululemon change what was perfect?,2018-09-04,"I discovered lululemon 18 months ago after my wife told me much she loved all her gear. I bought two of the metal vent tech shirts and two 9” pace breaker shorts (lined). I was converted to the product as soon as I worked out in it so I bought two more of this combination. Last month, I bought the same outfit, size but noticed it said “updated” I the title description. When the “updated” metal vent shirt and lined 9” pace breaker shorts (size large) arrived, my excitement immediately turned to disappointment once I tried each item on. I’m 6’1” 182lbs and the previous design of the shirt and shorts fit so well I wear them as lifestyle gear, not just to the gym. The “updated” version is so tight I would have to lose 20 lbs to reasonably fit in it. The liner in the shorts is smaller and much tighter than the previous generation (and very uncomfortable). I returned both items to the store and asked if the had any of the old gear for sale (they were sold out). I hope my original purchase of metal vent shirts and 9” lined pace breaker shorts last a long time. I won’t be make any new purchases until the “updated” version goes back to the 2017 version. If not, I’ll continue on with my original purchase or wait for a competitor to emerge to fill the space Lululemon dominated in men’s workout gear.",,,3,0,1309,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,BRANDONBOS,"BOSTON, MA, USA",SWEATY GENERALIST,18-24,ATHLETIC,the design,liner,,New liner is as uncomfortable as it gets,2018-09-03,"I have several pairs of the Pace Breakers shorts (Lined) from before the new update and I loved wearing them. However, this new liner is as uncomfortable as it gets. The liner is shortened by half (by estimation) and it does not feel nearly as flexible as before, causing extreme discomfort in the quads. In addition, the more I walk the more the liner is rolled up towards my waist, causing even more discomfort as the liner tightens.",2018-09-03,"Hi BrandonBOS,
Thanks for taking the time to share this feedback. We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. I'm going to follow this up with an email that outlines how to move towards a resolution.",1,0,435,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,3,STEVEN777,GEORGIA,SWEATY GENERALIST,18-24,ATHLETIC,,,,Maybe with time,2018-09-01,I love the look of the short and the material. The issue is the built in underwear they tend to ride up and you have a readjust a lot during a workout or stretch.,2018-09-01,"Hey Steven777,

Thanks for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" Updated is causing you some discomfort. Keep an eye out for an email coming your way. Chat Soon!",2,0,162,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,3,JOSH55555,CHICAGO,YOGI,35-44,ATHLETIC,,liner,,Bad liner,2018-08-31,Liner is nowhere near what it used to be. You need to fix the liner on your next line of products or you will loose to many customers.,2018-09-01,"Hey Josh55555,

Thanks for taking the time to share your feedback with us. I'm sorry to hear the liner on your Pace Breaker Short 9"" Updated is not working out. Keep an eye out for an email coming your way. Chat Soon!",1,0,134,bottom,shorts
